Deutsch	Перевод	Beispiel	Перевод примера
=== 1 ===
eine Prüfung machen	сдавать экзамен	Morgen mache ich eine Prüfung.	Завтра я сдаю экзамен.
(sich) vorbereiten	готовиться	Ich bereite mich intensiv auf eine Prüfung vor.	Я интенсивно готовлюсь к экзамену.
sich anstrengen	стараться, напрягаться	Streng dich an!	Постарайся!
der Stress (Sg.)	стресс	Der Stress vor der Prüfung ist groß.	Стресс перед экзаменом большой.
Stress haben	испытывать стресс	Ich habe gerade viel Stress.	У меня сейчас много стресса.
nervös sein	нервничать	Ich bin vor der Prüfung nervös.	Я нервничаю перед экзаменом.
erschöpft sein	быть измождённым	Nach der Prüfung bin ich erschöpft.	После экзамена я измождён.
schaffen	справиться, сделать	Ich habe die Prüfung geschafft!	Я сдал экзамен!
Juhu!	Ура!	Juhu, ich habe die Prüfung geschafft!	Ура, я сдал экзамен!
vorbei sein	закончиться	Die Prüfung ist vorbei.	Экзамен закончился.
erleichtert sein	быть с облегчением	Ich bin erleichtert.	Мне полегчало.
feiern	праздновать	Wir feiern den Erfolg.	Мы празднуем успех.
(sich) belohnen	вознаграждать (себя)	Ich belohne mich mit einer Reise.	Я вознаграждаю себя поездкой.
verreisen	уехать в путешествие	Wir verreisen nächste Woche.	Мы уезжаем на следующей неделе.
gespannt sein	быть в предвкушении	Ich bin gespannt auf die Reise.	Я в предвкушении поездки.
die Küste, -n	побережье	Wir fahren an die Küste.	Мы едем на побережье.
die Ostsee (Sg.)	Балтийское море	Wir fahren an die Ostsee.	Мы едем на Балтийское море.
übernachten	ночевать	Wir übernachten im Hotel.	Мы ночуем в отеле.
die Jugendherberge, -n	молодёжная гостиница	Die Jugendherberge ist günstig.	Молодёжная гостиница недорогая.
vorschlagen	предлагать	Ich schlage eine Reise vor.	Я предлагаю поездку.
die Postkarte, -n	открытка	Ich schicke dir eine Postkarte.	Я пришлю тебе открытку.
ehemalig	бывший	Die ehemalige DDR ist jetzt Teil Deutschlands.	Бывшая ГДР теперь часть Германии.
=== 2–3 ===
die Reisegruppe, -n	туристическая группа	Die Reisegruppe hat 20 Personen.	В туристической группе 20 человек.
der Hauptbahnhof (Hbf.)	главный вокзал	Wir treffen uns am Hauptbahnhof.	Мы встречаемся на главном вокзале.
die Verbindung, -en	соединение, связь	Es gibt eine gute Verbindung nach Berlin.	Есть хорошее сообщение до Берлина.
das Zugticket, -s	билет на поезд	Das Zugticket kostet 50 Euro.	Билет на поезд стоит 50 евро.
der Sparpreis, -e	льготный тариф	Mit dem Sparpreis reist man günstiger.	По льготному тарифу путешествовать дешевле.
