Deutsch	Перевод	Beispiel	Перевод примера
=== 1 ===	 	 	 
ein Kind bekommen	родить ребёнка	Sie hat letztes Jahr ein Kind bekommen.	Она родила ребёнка в прошлом году.
der Mutterschutz (Sg.)	декретный отпуск	Der Mutterschutz beginnt vor der Geburt.	Декретный отпуск начинается до родов.
das Elterngeld (Sg.)	родительское пособие	Elterngeld bekommt man vom Staat.	Родительское пособие получают от государства.
die Schwangerschaft, -en	беременность	Die Schwangerschaft dauert neun Monate.	Беременность длится девять месяцев.
die Vorfreude, -n	предвкушение	Die Vorfreude auf das Baby ist groß.	Предвкушение рождения малыша велико.
die Geburt, -en	рождение, роды	Die Geburt war problemlos.	Роды прошли без проблем.
sich vorbereiten auf	готовиться к	Sie bereiten sich auf die Geburt vor.	Они готовятся к родам.
die Spielsachen (Pl.)	игрушки	Die Spielsachen liegen im Kinderzimmer.	Игрушки лежат в детской.
die Windel, -n	подгузник	Das Baby braucht eine neue Windel.	Малышу нужен новый подгузник.
problemlos	без проблем	Alles verlief problemlos.	Всё прошло без проблем.
nachdenken	размышлять	Ich denke über das Problem nach.	Я размышляю над проблемой.
akzeptieren	принимать, соглашаться	Man muss die Situation akzeptieren.	Нужно принять ситуацию.
die Teamleitung, -en	руководство команды	Sie hat die Teamleitung übernommen.	Она взяла на себя руководство командой.
optimistisch	оптимистичный	Er ist sehr optimistisch.	Он очень оптимистичен.
die Bestätigung, -en	подтверждение	Ich warte auf die Bestätigung.	Я жду подтверждения.
das Umfeld (Sg.)	окружение	Das Umfeld ist sehr unterstützend.	Окружение очень поддерживающее.
die Mutterrolle, -n	роль матери	Die Mutterrolle ist nicht immer einfach.	Роль матери не всегда проста.
die Verantwortung tragen	нести ответственность	Eltern tragen große Verantwortung.	Родители несут большую ответственность.
deutlich	отчётливо, явно	Das kann ich deutlich besser als mein Mann.	Это я умею явно лучше, чем мой муж.
verständlich	понятный	Seine Erklärung war verständlich.	Его объяснение было понятным.
gleichberechtigt	равноправный	Sind Frauen und Männer wirklich gleichberechtigt?	Действительно ли мужчины и женщины равноправны?
=== 2 ===	 	 	 
auf die Welt kommen	родиться	Das Baby kam gestern auf die Welt.	Малыш родился вчера.
während	во время, в то время как	Während der Arbeit telefoniere ich nicht.	Во время работы я не звоню.
beinahe	почти	Ich hätte beinahe den Bus verpasst.	Я чуть не опоздал на автобус.
vermissen	скучать по	Ich vermisse meine Familie.	Я скучаю по своей семье.
zweifeln	сомневаться	Ich zweifle an seiner Ehrlichkeit.	Я сомневаюсь в его честности.
