Deutsch	Перевод	Beispiel	Перевод примера
=== 1 ===	 	 	 
das Portal, -e	портал	Ich suche einen Job auf einem Portal.	Я ищу работу на портале.
das Jobportal	портал вакансий	Das Jobportal hat viele Stellenangebote.	На портале вакансий много предложений работы.
entweder … oder	или … или	Entweder du rufst an oder du schreibst.	Или ты позвонишь, или напишешь.
sprechen über	говорить о	Wir sprechen über unsere Berufe.	Мы говорим о наших профессиях.
die Sprachnachricht, -en	голосовое сообщение	Ich habe dir eine Sprachnachricht geschickt.	Я отправил тебе голосовое сообщение.
jobben	подрабатывать	Er jobbt als Kellner.	Он подрабатывает официантом.
die Mindmap, -s	ментальная карта	Wir erstellen eine Mindmap zum Thema Arbeit.	Мы составляем ментальную карту на тему работы.
der Begriff, -e	понятие, термин	Kennen Sie diesen Begriff?	Вы знаете этот термин?
handeln	действовать, торговать	Man muss schnell handeln.	Нужно действовать быстро.
die Fortbildung, -en	повышение квалификации	Die Firma bietet Fortbildungen an.	Фирма предлагает курсы повышения квалификации.
die Kündigung, -en	увольнение, расторжение	Er hat die Kündigung bekommen.	Он получил увольнение.
das Labor, -s	лаборатория	Sie arbeitet im Labor.	Она работает в лаборатории.
das Lager, –	склад	Die Waren sind im Lager.	Товары на складе.
die Messe, -n	ярмарка, выставка	Wir fahren zur Messe nach Hannover.	Мы едем на ярмарку в Ганновер.
der Verlag, -e	издательство	Er arbeitet in einem Verlag.	Он работает в издательстве.
der Lohn, Löhne	зарплата (рабочих)	Der Lohn wird am Ende des Monats gezahlt.	Зарплата выплачивается в конце месяца.
der Lehrling, -e	ученик (подмастерье)	Der Lehrling lernt den Beruf.	Ученик осваивает профессию.
der Meister, –	мастер	Er hat die Prüfung zum Meister bestanden.	Он сдал экзамен на мастера.
die Schichtarbeit (Sg.)	сменная работа	Schichtarbeit ist anstrengend.	Сменная работа утомительна.
die Teilzeit (Sg.)	неполный рабочий день	Sie arbeitet in Teilzeit.	Она работает на неполный рабочий день.
die Überstunde, -n	сверхурочный час	Ich mache heute Überstunden.	Я сегодня работаю сверхурочно.
(sich) weiterbilden	повышать квалификацию	Man sollte sich regelmäßig weiterbilden.	Нужно регулярно повышать квалификацию.
die Berufserfahrung, -en	опыт работы	Sie hat viel Berufserfahrung.	У неё большой опыт работы.
=== Berufe ===	 	 	 
der Beruf, -e	профессия	Was ist Ihr Beruf?	Какая у вас профессия?
der Anwalt, Anwälte / die Anwältin, -nen	адвокат	Mein Anwalt berät mich.	Мой адвокат консультирует меня.
der Professor, Professoren / die Professorin, -nen	профессор	Die Professorin hält eine Vorlesung.	Профессор читает лекцию.
der Richter, – / die Richterin, -nen	судья	Der Richter sprach das Urteil.	Судья вынес приговор.
der Sekretär, -e / die Sekretärin, -nen	секретарь	Die Sekretärin organisiert die Termine.	Секретарь организует встречи.
