Deutsch	Перевод	Beispiel	Перевод примера
=== 1 ===	 	 	 
die Fahne, -n	флаг	Die Fahne weht im Wind.	Флаг развевается на ветру.
festhalten	держать(ся), фиксировать	Halt dich gut fest!	Держись крепко!
der Integrationskurs, -e	интеграционный курс	Der Integrationskurs dauert sechs Monate.	Интеграционный курс длится шесть месяцев.
das Aufenthaltsrecht, -e	право на пребывание	Er hat ein Aufenthaltsrecht in Deutschland.	У него есть право на пребывание в Германии.
die Wahl, -en	выбор, выборы	Die freie Wahl des Wohnorts ist ein Grundrecht.	Свободный выбор места жительства — основное право.
die EU (Europäische Union)	ЕС (Европейский союз)	Die EU hat 27 Mitgliedstaaten.	В ЕС 27 государств-членов.
der EU-Bürger, – / die EU-Bürgerin, -nen	гражданин ЕС	EU-Bürger können frei reisen.	Граждане ЕС могут свободно путешествовать.
das EU-Land, -Länder	страна ЕС	Deutschland ist ein EU-Land.	Германия — страна ЕС.
die Einbürgerung, -en	получение гражданства	Die Einbürgerung dauert lange.	Получение гражданства занимает много времени.
die Flucht (Sg.)	бегство, побег	Die Flucht war gefährlich.	Побег был опасным.
zurückliegen	быть в прошлом	Das liegt schon Jahre zurück.	Это было уже много лет назад.
das Grundrecht, -e	основное право	Die Meinungsfreiheit ist ein Grundrecht.	Свобода слова — основное право.
der Schutz (Sg.)	защита	Der Schutz der Familie ist wichtig.	Защита семьи важна.
die Visafreiheit (Sg.)	безвизовый режим	EU-Bürger genießen Visafreiheit.	Граждане ЕС пользуются безвизовым режимом.
das Wahlrecht (Sg.)	избирательное право	Jeder Bürger hat das Wahlrecht.	Каждый гражданин имеет избирательное право.
=== 2 ===	 	 	 
der Staatsbürger, – / die Staatsbürgerin, -nen	гражданин / гражданка	Er ist deutscher Staatsbürger.	Он гражданин Германии.
einbürgern	предоставлять гражданство	Er wurde in Deutschland eingebürgert.	Он получил гражданство Германии.
die Botschaft, -en	посольство	Die deutsche Botschaft ist im Zentrum.	Немецкое посольство в центре.
das Visum, Visa	виза	Das Visum ist abgelaufen.	Виза истекла.
die Aufenthaltserlaubnis (Sg.)	вид на жительство	Sie hat eine Aufenthaltserlaubnis.	У неё есть вид на жительство.
die Glaubensfreiheit (Sg.)	свобода вероисповедания	Die Glaubensfreiheit ist geschützt.	Свобода вероисповедания защищена.
die Meinungsfreiheit (Sg.)	свобода слова	Die Meinungsfreiheit ist ein Grundrecht.	Свобода слова — основное право.
identifizieren	идентифицировать	Man muss sich identifizieren.	Нужно идентифицировать себя.
=== Wortschatzerweiterung ===	 	 	 
die Abschiebung, -en	депортация	Die Abschiebung wurde gestoppt.	Депортация была остановлена.
politisch	политический	Er ist politisch aktiv.	Он политически активен.
das Amt, Ämter	ведомство, учреждение	Das Amt ist montags geschlossen.	Ведомство по понедельникам закрыто.
kandidieren	баллотироваться	Sie kandidiert für das Parlament.	Она баллотируется в парламент.
=== 3 ===	 	 	 
das Original, -e	оригинал	Bringen Sie bitte das Original mit.	Принесите, пожалуйста, оригинал.
wissenswert	заслуживающий внимания	Das ist wissenswert.	Это стоит знать.
der Einbürgerungsantrag, -anträge	заявление на гражданство	Der Einbürgerungsantrag ist eingereicht.	Заявление на гражданство подано.
vollständig	полный, полностью	Die Unterlagen sind vollständig.	Документы полные.
der Grundwert, -e	основная ценность	Freiheit ist ein Grundwert.	Свобода — основная ценность.
das Passfoto, -s	фото на паспорт	Ich brauche ein neues Passfoto.	Мне нужно новое фото на паспорт.
ausreichen	быть достаточным	Die Unterlagen reichen aus.	Документов достаточно.
die Urkunde, -n	свидетельство, документ	Die Geburtsurkunde ist wichtig.	Свидетельство о рождении важно.
die Geburtsurkunde	свидетельство о рождении	Bringen Sie Ihre Geburtsurkunde mit.	Принесите своё свидетельство о рождении.
die Heiratsurkunde	свидетельство о браке	Die Heiratsurkunde muss übersetzt werden.	Свидетельство о браке нужно перевести.
entfallen	отпадать	Dieser Schritt entfällt.	Этот шаг отпадает.
der Nachweis, -e	подтверждение, справка	Sie brauchen einen Einkommensnachweis.	Вам нужно подтверждение дохода.
der Einkommensnachweis	подтверждение дохода	Der Einkommensnachweis ist Pflicht.	Подтверждение дохода обязательно.
der Ausbildungsvertrag, -verträge	договор об обучении	Der Ausbildungsvertrag wurde unterschrieben.	Договор об обучении был подписан.
die Gehaltsabrechnung, -en	расчётный лист	Die Gehaltsabrechnung kommt monatlich.	Расчётный лист приходит ежемесячно.
bestehen	сдать (экзамен)	Er hat den bestandenen Test geschafft.	Он сдал тест.
der Einbürgerungstest, -s	тест на гражданство	Der Einbürgerungstest hat 33 Fragen.	Тест на гражданство содержит 33 вопроса.
die Übersetzung, -en	перевод	Die Übersetzung muss beglaubigt sein.	Перевод должен быть заверен.
