Deutsch	Перевод	Beispiel	Перевод примера
=== 1 ===	 	 	 
das Ehrenamt, -ämter	волонтёрская деятельность	Das Ehrenamt ist in Deutschland sehr wichtig.	Волонтёрская деятельность очень важна в Германии.
ehrenamtlich	добровольный, на общественных началах	Sie arbeitet ehrenamtlich im Verein.	Она работает на общественных началах в обществе.
freiwillig	добровольный	Die Teilnahme ist freiwillig.	Участие добровольное.
der Helfer, – / die Helferin, -nen	помощник / помощница	Die Helfer verteilen Essen.	Помощники раздают еду.
sammeln	собирать	Wir sammeln Spenden für Kinder.	Мы собираем пожертвования для детей.
verteilen	раздавать, распределять	Sie verteilt Kleidung an Obdachlose.	Она раздаёт одежду бездомным.
das Engagement (Sg.)	вовлечённость, активность	Sein Engagement ist bewundernswert.	Его активность заслуживает восхищения.
sich engagieren	активно участвовать	Er engagiert sich für die Umwelt.	Он активно участвует в защите окружающей среды.
sich beteiligen	участвовать	Viele Bürger beteiligen sich an dem Projekt.	Многие граждане участвуют в проекте.
begleiten	сопровождать	Ich begleite die Kinder zur Schule.	Я сопровождаю детей в школу.
die Tafel, -n	благотворительная столовая	Ich engagiere mich bei den Tafeln Köln als Fahrerin.	Я работаю водителем в благотворительной столовой Кёльна.
die soziale Einrichtung, -en	социальное учреждение	Die soziale Einrichtung hilft Familien.	Социальное учреждение помогает семьям.
der/die Bufdi, -s (Bundesfreiwilligendienstler/in)	волонтёр федеральной службы	Der Bufdi arbeitet ein Jahr freiwillig.	Волонтёр работает год добровольно.
das Hilfsangebot, -e	предложение помощи	Es gibt viele Hilfsangebote in der Stadt.	В городе много предложений помощи.
die Feuerwehr, -en	пожарная служба	Die Feuerwehr kommt schnell.	Пожарная служба приезжает быстро.
die Behinderung, -en	инвалидность	Menschen mit Behinderung brauchen Unterstützung.	Люди с инвалидностью нуждаются в поддержке.
die Gesellschaft (Sg.)	общество	Die Gesellschaft muss zusammenhalten.	Общество должно держаться вместе.
das Jubiläum, Jubiläen	юбилей	Das Jubiläum wird groß gefeiert.	Юбилей отмечают с размахом.
die Gefahr, -en	опасность	Es besteht keine Gefahr.	Опасности нет.
die Lebensgefahr, -en	опасность для жизни	Er war in Lebensgefahr.	Он был в опасности для жизни.
in Lebensgefahr sein	быть в смертельной опасности	Das Kind war in Lebensgefahr.	Ребёнок был в смертельной опасности.
der Einsatz, Einsätze	операция, применение	Der Einsatz der Feuerwehr war erfolgreich.	Операция пожарной службы прошла успешно.
retten	спасать	Die Feuerwehr hat das Kind gerettet.	Пожарные спасли ребёнка.
einerseits … andererseits	с одной стороны … с другой стороны	Einerseits ist es gut, andererseits schwer.	С одной стороны это хорошо, с другой — тяжело.
die Empathie (Sg.)	эмпатия	Empathie ist im Ehrenamt wichtig.	Эмпатия важна в волонтёрстве.
die Toleranz (Sg.)	толерантность	Toleranz ist eine wichtige Eigenschaft.	Толерантность — важное качество.
unglaublich	невероятный	Das ist unglaublich!	Это невероятно!
reich ↔ arm	богатый ↔ бедный	Die Kluft zwischen reich und arm wächst.	Разрыв между богатыми и бедными растёт.
(sich) unterstützen	поддерживать (друг друга)	Wir unterstützen uns gegenseitig.	Мы поддерживаем друг друга.
zurechtkommen	справляться	Er kommt allein gut zurecht.	Он хорошо справляется один.
=== 2 ===	 	 	 
erhalten	получать	Ich habe eine Einladung erhalten.	Я получил приглашение.
erfüllen	исполнять, выполнять	Er erfüllt seine Aufgaben gut.	Он хорошо выполняет свои задачи.
der Bereich, -e	область, сфера	In welchem Bereich arbeiten Sie?	В какой сфере вы работаете?
einsetzen	применять, использовать	Wir setzen Freiwillige ein.	Мы привлекаем добровольцев.
intensiv	интенсивный	Die Arbeit war sehr intensiv.	Работа была очень интенсивной.
das Jugendzentrum, -zentren	молодёжный центр	Das Jugendzentrum bietet viele Aktivitäten.	Молодёжный центр предлагает много мероприятий.
klasse	классный, отличный	Das ist klasse!	Это классно!
der Kursleiter, – / die Kursleiterin, -nen	руководитель курса	Die Kursleiterin erklärt die Übung.	Руководительница курса объясняет упражнение.
miterleben	пережить вместе, быть свидетелем	Ich habe das Konzert miterlebt.	Я был свидетелем концерта.
historisch	исторический	Das ist ein historisches Ereignis.	Это историческое событие.
das Ereignis, -se	событие	Das historische Ereignis war wichtig.	Историческое событие было важным.
der Rettungshund, -e	собака-спасатель	Der Rettungshund hat den Mann gefunden.	Собака-спасатель нашла мужчину.
das Unglück (Sg.)	несчастье, беда	Nach dem Unglück kamen viele Helfer.	После несчастья пришло много помощников.
trotz	несмотря на	Trotz des Regens gehen wir spazieren.	Несмотря на дождь, мы идём гулять.
der Aufruf, -e	призыв	Der Aufruf zur Hilfe war erfolgreich.	Призыв о помощи был успешным.
Social Media (Pl.)	социальные сети	Der Aufruf wurde über Social Media verbreitet.	Призыв распространили через соцсети.
=== 3 ===	 	 	 
die Leitung, -en	руководство	Leo Fischer hat vor einigen Jahren die Leitung der Werkstatt übernommen.	Лео Фишер несколько лет назад взял на себя руководство мастерской.
das Argument, -e	аргумент	Das ist ein gutes Argument.	Это хороший аргумент.
zögern	колебаться, медлить	Zögere nicht, frag einfach!	Не медли, просто спроси!
=== 4–5 ===	 	 	 
das Werkzeug, -e	инструмент	Ich brauche das richtige Werkzeug.	Мне нужен правильный инструмент.
aufpumpen	накачивать	Ich muss den Reifen aufpumpen.	Мне нужно накачать шину.
lackieren	красить, покрывать лаком	Wir lackieren das Fahrrad neu.	Мы заново красим велосипед.
der Freundeskreis, -e	круг друзей	Mein Freundeskreis ist groß.	У меня большой круг друзей.
zusammenhalten	держаться вместе	Freunde halten zusammen.	Друзья держатся вместе.
=== Wortschatzerweiterung ===	 	 	 
die Klingel, -n	звонок	Die Klingel am Fahrrad ist kaputt.	Звонок на велосипеде сломан.
der Sattel, Sättel	седло	Der Sattel ist zu hoch.	Седло слишком высокое.
das Rücklicht, -er	задний фонарь	Das Rücklicht funktioniert nicht.	Задний фонарь не работает.
das Ventil, -e	вентиль, клапан	Das Ventil ist defekt.	Вентиль неисправен.
der Reifen, –	шина	Der Reifen ist platt.	Шина спущена.
das Pedal, -e	педаль	Das Pedal ist locker.	Педаль расшатана.
die Lampe, -n	лампа, фонарь	Die Lampe am Fahrrad ist neu.	Фонарь на велосипеде новый.
der Fahrradschlauch, -schläuche	велосипедная камера	Der Fahrradschlauch hat ein Loch.	В велосипедной камере дырка.
die Bremse, -n	тормоз	Die Bremsen müssen repariert werden.	Тормоза нужно отремонтировать.
die Luftpumpe, -n	насос	Hast du eine Luftpumpe?	У тебя есть насос?
der Lenker, –	руль	Der Lenker ist verbogen.	Руль погнут.
=== 6 ===	 	 	 
die Unterstützung (Sg.)	поддержка	Vielen Dank für Ihre Unterstützung!	Большое спасибо за вашу поддержку!
unterstützen	поддерживать	Wir unterstützen das Projekt.	Мы поддерживаем проект.
die Ausstellung, -en	выставка	Die Ausstellung war sehr interessant.	Выставка была очень интересной.
das Werk, -e	произведение	Das Werk des Künstlers ist berühmt.	Произведение художника знаменито.
örtlich	местный	Der örtliche Verein organisiert das Fest.	Местное общество организует праздник.
queer	квир	Die queere Community feiert zusammen.	Квир-сообщество празднует вместе.
die Reinigung, -en	уборка, чистка	Die Reinigung des Parks ist wichtig.	Уборка парка важна.
rennen	бежать	Die Kinder rennen im Park.	Дети бегают в парке.
das Rennen, –	гонка, забег	Das Rennen beginnt um 10 Uhr.	Гонка начинается в 10 часов.
städtisch	городской	Das städtische Museum ist kostenlos.	Городской музей бесплатный.
=== 7 ===	 	 	 
drinnen ↔ draußen	внутри ↔ снаружи	Drinnen ist es warm, draußen kalt.	Внутри тепло, снаружи холодно.
der Drogeriemarkt, -märkte	магазин бытовой химии	Im Drogeriemarkt gibt es Shampoo.	В магазине бытовой химии есть шампунь.
der Essensstand, -stände	палатка с едой	Am Essensstand gibt es Bratwurst.	В палатке с едой есть жареные сосиски.
die Spinne, -n	паук	Ich habe Angst vor Spinnen.	Я боюсь пауков.
der Lärm (Sg.)	шум	Der Lärm stört die Nachbarn.	Шум мешает соседям.
das Chaos (Sg.)	хаос	In der Wohnung herrscht Chaos.	В квартире царит хаос.
rauskommen	выходить, получаться	Bei mir ist „Natur und Umwelt" rausgekommen.	У меня получилось «Природа и окружающая среда».
